p = 12; number of cycles = 10000; data structure = Apache Data Sketches Java CPC
true distinct count; minimum memory size; average memory size; maximum memory size; minimum serialization size; average serialization size; maximum serialization size; relative distinct count estimation bias; relative distinct count estimation rmse; estimated memory MVP; estimated serialization MVP
1; 136; 136.0; 136; 36; 36.0; 36; 0.0; 0.0; 0.0; 0.0
2; 136; 136.0; 136; 36; 36.2504; 40; -5.9325364271260696E-5; 0.007071184819882874; 0.05440180037555289; 0.0145006398848084
3; 136; 136.0; 136; 36; 39.9988; 40; -1.8634234994983482E-5; 0.005773606345638441; 0.03626796889502336; 0.01066672966351662
4; 136; 151.9936; 152; 40; 40.0244; 44; 2.2060673291106836E-5; 0.00500026929191606; 0.030401994540000164; 0.00800574228300917
5; 152; 152.0; 152; 40; 42.246; 44; 8.276587229295338E-5; 0.0040013582110434995; 0.019469214920231643; 0.005411160878421749
6; 152; 152.0; 152; 40; 43.9996; 48; 7.011492359880253E-5; 0.004714598722266104; 0.027028568392183705; 0.007823988143610041
7; 152; 183.9552; 184; 44; 44.2116; 48; 4.411922018802988E-5; 0.00534427331611714; 0.042031934357668194; 0.01010191105795043
8; 184; 184.0; 184; 44; 47.4368; 52; 3.4792601345925876E-5; 0.005587868292505354; 0.04596212846405722; 0.011849436388716246
9; 184; 184.0; 184; 44; 48.006; 52; 1.4343265785501636E-5; 0.005875052568656659; 0.0508079092315534; 0.013255893970488871
10; 184; 184.0; 184; 48; 48.4604; 52; -3.888398135678628E-6; 0.006075950124439134; 0.05434207411439707; 0.014312166567463739
11; 184; 184.0; 184; 48; 51.2476; 56; -2.0508402805684835E-5; 0.006222847428566171; 0.057001477935480965; 0.015876026851338883
12; 184; 184.0; 184; 48; 52.0156; 56; -1.9239158322450934E-5; 0.006224211123910633; 0.05702646365729893; 0.016121009364198902
13; 184; 247.5712; 248; 52; 52.5676; 56; -2.7305679805617364E-5; 0.0062814897332696944; 0.07814755904467982; 0.01659332597990845
14; 248; 248.0; 248; 52; 55.1316; 60; 1.9239594275019455E-7; 0.006128223766196637; 0.07450937103269736; 0.0165637937097833
15; 248; 248.0; 248; 52; 56.0192; 60; -4.396462172948972E-5; 0.006372370489431443; 0.08056449761868023; 0.018198220584678917
16; 248; 248.0; 248; 56; 56.6736; 60; -2.1204758198203578E-5; 0.006257044777323737; 0.07767480894134156; 0.01775044779039522
17; 248; 248.0; 248; 56; 58.684; 64; -1.989353155211872E-5; 0.006252904342613278; 0.07757204443225803; 0.0183557978042848
18; 248; 248.0; 248; 56; 59.96; 64; -3.0814712651637695E-6; 0.006180907810741009; 0.07579598478792036; 0.01832551309630526
19; 248; 248.0; 248; 56; 60.3844; 64; -1.5379926342432303E-5; 0.006236240257343055; 0.07715913401385543; 0.018787129080428438
20; 248; 248.0; 248; 60; 61.9772; 68; -1.2367161923696558E-5; 0.0062252436325695715; 0.07688725803713843; 0.01921474584201345
21; 248; 248.0; 248; 60; 63.732; 68; -2.0075956898328228E-5; 0.006254254567410646; 0.07760554918485023; 0.019943374438100302
22; 248; 248.0; 248; 60; 64.2144; 68; -3.7047104428620387E-5; 0.006311857450681587; 0.07904165624380571; 0.020466179559283215
23; 248; 248.0; 248; 64; 65.394; 68; -5.7718841088837736E-5; 0.006434255990803363; 0.08213690590789492; 0.021658309777987425
