p = 12; number of cycles = 10000; data structure = Apache Data Sketches Java HLL4
true distinct count; minimum memory size; average memory size; maximum memory size; minimum serialization size; average serialization size; maximum serialization size; relative distinct count estimation bias; relative distinct count estimation rmse; estimated memory MVP; estimated serialization MVP
1; 248; 248.0; 248; 12; 12.0; 12; 0.0; 0.0; 0.0; 0.0
2; 248; 248.0; 248; 16; 16.0; 16; 2.4835269396561444E-9; 2.483526939655867E-9; 1.2237125623032929E-14; 7.894919756795437E-16
3; 248; 248.0; 248; 20; 20.0; 20; 4.967053731282552E-9; 4.967053731282552E-9; 4.894849957458468E-14; 3.947459643111668E-15
4; 248; 248.0; 248; 24; 24.0; 24; 7.450580818968433E-9; 7.450580818968431E-9; 1.101341306073209E-13; 1.0658141671676216E-14
5; 248; 248.0; 248; 28; 28.0; 28; 9.934107580988894E-9; 9.934107580989895E-9; 1.9579400296647092E-13; 2.210577452847252E-14
6; 248; 248.0; 248; 32; 32.0; 32; 1.2417634476236117E-8; 1.2417634476236117E-8; 3.0592812963504913E-13; 3.94745973722644E-14
7; 248; 248.0; 248; 36; 36.0; 36; 1.4901161320730287E-8; 1.4901161320730287E-8; 4.4053650367355394E-13; 6.394884730745138E-14
8; 344; 344.0; 344; 44; 44.0; 44; 1.738468857759301E-8; 1.7384688577594724E-8; 8.317297963787492E-13; 1.0638404372286327E-13
9; 344; 344.0; 344; 48; 48.0; 48; 1.986821531987617E-8; 1.986821531987617E-8; 1.0863409369516398E-12; 1.5158245631883348E-13
10; 344; 344.0; 344; 52; 52.0; 52; 2.235174250131422E-8; 2.235174250131421E-8; 1.3749002811095943E-12; 2.0783376342354333E-13
11; 344; 344.0; 344; 56; 56.0; 56; 2.4835269517676683E-8; 2.4835269517674304E-8; 1.697407764266718E-12; 2.763221941829541E-13
12; 344; 344.0; 344; 60; 60.0; 60; 2.7318796410232455E-8; 2.7318796410232442E-8; 2.0538633858598622E-12; 3.5823198590579E-13
