p = 12; number of cycles = 10000; data structure = Google Zetasketch Dense
true distinct count; minimum memory size; average memory size; maximum memory size; minimum serialization size; average serialization size; maximum serialization size; relative distinct count estimation bias; relative distinct count estimation rmse; estimated memory MVP; estimated serialization MVP
1; 6240; 6240.0; 6240; 4113; 4113.0; 4113; 0.0; 0.0; 0.0; 0.0
2; 6240; 6240.0; 6240; 4113; 4113.0; 4113; -3.5E-4; 0.013228756555322952; 8.736; 5.7582
3; 6240; 6240.0; 6240; 4113; 4113.0; 4113; -3.9999999999999996E-4; 0.011547005383792516; 6.656; 4.3872
4; 6240; 6240.0; 6240; 4113; 4113.0; 4113; -4.75E-4; 0.0114564392373896; 6.552; 4.31865
5; 6240; 6240.0; 6240; 4113; 4113.0; 4113; -5.4E-4; 0.010770329614269008; 5.79072; 3.816864
6; 6240; 6240.0; 6240; 4113; 4113.0; 4113; -6.5E-4; 0.01092906420717; 5.962666666666666; 3.9302
7; 6240; 6240.0; 6240; 4113; 4113.0; 4113; -8.571428571428572E-4; 0.011605769149479944; 6.723918367346939; 4.431967346938776
8; 6240; 6240.0; 6240; 4113; 4113.0; 4113; -9.5E-4; 0.011319231422671772; 6.396; 4.215825
9; 6240; 6240.0; 6240; 4113; 4113.0; 4113; -0.0010555555555555555; 0.0111665284679121; 6.224592592592592; 4.102844444444444
10; 6240; 6240.0; 6240; 4113; 4113.0; 4113; -0.0012200000000000002; 0.01131370849898476; 6.38976; 4.211712
11; 6240; 6240.0; 6240; 4113; 4113.0; 4113; -0.001290909090909091; 0.011059568236905855; 6.105917355371901; 4.024621487603306
12; 6240; 6240.0; 6240; 4113; 4113.0; 4113; -0.0014; 0.0109924216318941; 6.032; 3.9759
13; 6240; 6240.0; 6240; 4113; 4113.0; 4113; -0.0015153846153846153; 0.010959851422134622; 5.996307692307692; 3.9523739644970415
14; 6240; 6240.0; 6240; 4113; 4113.0; 4113; -0.00165; 0.010996288798814752; 6.036244897959183; 3.9786979591836733
15; 6240; 6240.0; 6240; 4113; 4113.0; 4113; -0.0017733333333333331; 0.011035296904831233; 6.0791466666666665; 4.006976
16; 6240; 6240.0; 6240; 4113; 4113.0; 4113; -0.00188125; 0.01102199505534275; 6.0645; 3.997321875
17; 6240; 6240.0; 6240; 4113; 4113.0; 4113; -0.001988235294117647; 0.01100487466698218; 6.045674740484429; 3.9849134948096885
