p = 12; number of cycles = 10000; data structure = Google Zetasketch Sparse
true distinct count; minimum memory size; average memory size; maximum memory size; minimum serialization size; average serialization size; maximum serialization size; relative distinct count estimation bias; relative distinct count estimation rmse; estimated memory MVP; estimated serialization MVP
1; 2360; 2360.0; 2360; 22; 22.0; 22; 0.0; 0.0; 0.0; 0.0
2; 2448; 2448.0; 2448; 22; 24.8826; 25; -3.5E-4; 0.013228756555322952; 3.4272; 0.03483564
3; 2448; 2535.9824; 2536; 24; 27.6539; 28; -3.9999999999999996E-4; 0.011547005383792516; 2.705047893333333; 0.029497493333333336
4; 2536; 2543.9904; 2544; 25; 30.3242; 31; -4.75E-4; 0.0114564392373896; 2.6711899199999998; 0.03184041
5; 2536; 2556.4072; 2560; 28; 32.8975; 34; -5.4E-4; 0.010770329614269008; 2.3723458816; 0.03052888
6; 2464; 2564.3928; 2568; 31; 35.3808; 37; -6.5E-4; 0.01092906420717; 2.4504197866666666; 0.033808319999999996
7; 2560; 2567.9864; 2576; 33; 37.7972; 40; -8.571428571428572E-4; 0.011605769149479944; 2.7671363657142853; 0.04072841142857143
8; 2568; 2569.6728; 2584; 35; 40.1411; 43; -9.5E-4; 0.011319231422671772; 2.63391462; 0.0411446275
9; 2568; 2581.1704; 2600; 38; 42.4422; 46; -0.0010555555555555555; 0.0111665284679121; 2.5747971397530867; 0.04233740444444444
10; 2568; 2594.0856; 2600; 39; 44.6776; 49; -0.0012200000000000002; 0.01131370849898476; 2.6563436544; 0.0457498624
11; 2568; 2597.6624; 2600; 42; 46.8618; 51; -0.001290909090909091; 0.011059568236905855; 2.5418448608264463; 0.04585485223140496
12; 2584; 2597.7248; 2600; 43; 49.0024; 54; -0.0014; 0.0109924216318941; 2.5111339733333335; 0.04736898666666667
13; 2480; 2597.7208; 2624; 45; 51.1074; 56; -0.0015153846153846153; 0.010959851422134622; 2.4962713486390538; 0.04911148970414201
14; 2480; 2599.2528; 2648; 47; 53.1708; 58; -0.00165; 0.010996288798814752; 2.5143792391836737; 0.0514346106122449
15; 2480; 2602.416; 2648; 49; 55.2029; 60; -0.0017733333333333331; 0.011035296904831233; 2.535331498666667; 0.05377989191111111
16; 2584; 2607.3288; 2664; 51; 57.2109; 62; -0.00188125; 0.01102199505534275; 2.5339976775; 0.0556018434375
17; 2512; 2619.9696; 2664; 53; 59.1993; 64; -0.001988235294117647; 0.01100487466698218; 2.5383788512110725; 0.05735572318339101
18; 2504; 2643.0416; 2664; 55; 61.1559; 66; -0.00205; 0.010900787150193658; 2.512521027160494; 0.05813585555555556
19; 2504; 2659.1176; 2664; 57; 63.0879; 68; -0.002168421052631579; 0.010913916501751431; 2.533895995567867; 0.060117001662049856
20; 2624; 2661.6224; 2664; 59; 65.0091; 70; -0.0022700000000000003; 0.01088577052853862; 2.5232180352; 0.0616286268
21; 2640; 2661.7184; 2664; 61; 66.9181; 72; -0.0023857142857142857; 0.01091089451179962; 2.534969904761905; 0.06373152380952381
22; 2648; 2661.7264; 2688; 62; 68.8116; 74; -0.002509090909090909; 0.010984587248722338; 2.569335896859504; 0.06642309818181819
23; 2648; 2661.7304; 2688; 64; 70.7046; 76; -0.0025782608695652173; 0.010973416925325186; 2.56411684657845; 0.06811165247637051
24; 2648; 2661.7344; 2688; 66; 72.574; 78; -0.0027166666666666663; 0.011071108546322019; 2.609978453333333; 0.07116283888888889
25; 2648; 2661.7344; 2688; 67; 74.4408; 79; -0.002884; 0.011207140580897518; 2.6745107251199998; 0.07479811584
26; 2648; 2661.7344; 2688; 69; 76.3071; 81; -0.0029653846153846154; 0.011167100877659982; 2.655434436923077; 0.07612649147928995
27; 2648; 2661.7616; 2712; 71; 78.1609; 83; -0.003074074074074074; 0.011148086624661045; 2.6464263479835393; 0.07771059028806585
28; 2648; 2663.1896; 2760; 73; 80.0102; 84; -0.0032142857142857142; 0.011180339887498949; 2.6631896000000004; 0.0800102
29; 2648; 2667.4344; 2760; 75; 81.846; 86; -0.0033379310344827584; 0.011247935469172477; 2.699786160856124; 0.08283866254458977
30; 2648; 2674.9608; 2760; 77; 83.6915; 88; -0.00345; 0.011239810200058244; 2.7034937152; 0.08458420933333334
31; 2560; 2677.124; 2760; 78; 85.5256; 90; -0.0035903225806451613; 0.011281102225835943; 2.7255963804370444; 0.08707413843912591
32; 2664; 2677.6488; 2760; 80; 87.3626; 93; -0.003728125; 0.01142656581173889; 2.796887848125; 0.09125296578125
33; 2664; 2677.6856; 2776; 82; 89.1912; 95; -0.0038515151515151514; 0.011463200193562265; 2.8148893249586777; 0.09376132760330579
34; 2512; 2680.0168; 2792; 84; 91.0308; 96; -0.003944117647058824; 0.011440382552221602; 2.8061352376470587; 0.09531460235294117
35; 2664; 2701.8248; 2792; 86; 92.8729; 97; -0.004017142857142857; 0.011385633625812158; 2.8019577354448977; 0.09631488339591836
36; 2664; 2743.956; 2792; 88; 94.7071; 99; -0.004102777777777778; 0.011361756297898644; 2.8337274000000003; 0.09780554216049382
37; 2576; 2777.592; 2792; 89; 96.549; 101; -0.004232432432432432; 0.011409119415786722; 2.8924288934989044; 0.10054072636961285
38; 2664; 2786.2024; 2792; 91; 98.3839; 103; -0.004310526315789474; 0.011385951396202071; 2.8896237633241; 0.10203582315789472
39; 2712; 2787.348; 2792; 93; 100.2266; 105; -0.004433333333333333; 0.011446930402846008; 2.9218590737672585; 0.1050633077186062
40; 2744; 2787.4312; 2792; 95; 102.0714; 107; -0.0045675; 0.011524430571616109; 2.96164565; 0.10845086250000001
42; 2744; 2787.4312; 2792; 99; 105.7476; 111; -0.004859523809523809; 0.011705474812649386; 3.055429120362812; 0.11591471619047619
44; 2752; 2787.4384; 2816; 102; 109.4378; 115; -0.005129545454545455; 0.011920449129039416; 3.168695470413223; 0.1244063585950413
46; 2752; 2787.4464; 2832; 105; 113.146; 118; -0.005341304347826087; 0.01200385886285089; 3.2132038085444234; 0.13042803553875235
48; 2752; 2787.4464; 2832; 109; 116.8454; 122; -0.005658333333333334; 0.012229716767865976; 3.3352570466666664; 0.13980876680555554
50; 2752; 2787.4464; 2832; 113; 120.5664; 126; -0.005889999999999999; 0.012320714265009152; 3.38507490816; 0.14641583616
52; 2760; 2787.464; 2840; 117; 124.2821; 129; -0.006126923076923077; 0.012370632335442609; 3.4125816662721893; 0.1521536478698225
54; 2760; 2787.4728; 2848; 119; 128.0143; 133; -0.006368518518518518; 0.012473566014110305; 3.469619778765432; 0.1593418049657064
56; 2760; 2787.4728; 2848; 123; 131.7484; 137; -0.006623214285714286; 0.01261048114442417; 3.5462058300000003; 0.16760950785714288
58; 2760; 2788.9128; 2872; 125; 135.5079; 142; -0.0068620689655172415; 0.01268618768217045; 3.5907666823305586; 0.1744684353388823
60; 2576; 2802.9648; 2952; 129; 139.9245; 146; -0.007075; 0.01277910621113838; 3.661917790933334; 0.18280358566666666
62; 2760; 2812.604; 2952; 133; 143.9802; 150; -0.0073854838709677415; 0.012976605861619793; 3.7889668453694063; 0.19396125590010405
65; 2776; 2814.7456; 2952; 140; 150.4851; 156; 0.006233846153846154; 0.015571176527852303; 5.459740388430769; 0.2918947908923077
68; 2776; 2814.788; 2952; 144; 156.2641; 162; 0.00654264705882353; 0.012617098575765675; 3.584715305882353; 0.1990069273529412
71; 2792; 2845.336; 3000; 151; 161.917; 168; 0.005577464788732394; 0.012111038212228541; 3.338768400555445; 0.1899963178734378
74; 2656; 2955.5336; 3048; 157; 167.5817; 174; 0.004695945945945946; 0.011713184245612213; 3.2439625912052596; 0.18393591119065011
77; 2840; 3031.3432; 3048; 163; 173.2378; 180; 0.0037896103896103896; 0.011363450833364862; 3.1314506377736544; 0.17895882567717997
80; 2944; 3034.3; 3048; 168; 178.8984; 186; 0.002925; 0.011118677978968542; 3.0009227000000003; 0.17693051760000003
84; 2704; 3034.2792; 3080; 175; 186.4464; 192; 0.001811904761904762; 0.010877070267143256; 2.8719005398639457; 0.17646876952380955
88; 2952; 3034.316; 3080; 183; 193.9924; 200; 7.886363636363636E-4; 0.010716818866229393; 2.787934556198347; 0.17824053776859503
92; 2952; 3034.316; 3080; 190; 201.5361; 208; -2.0434782608695653E-4; 0.010647736431529093; 2.75210740415879; 0.18279209977315689
96; 2704; 3034.2976; 3120; 198; 209.0675; 215; -0.0011770833333333334; 0.010736748938937606; 2.7982966755555556; 0.19280669444444445
100; 2952; 3034.3736; 3136; 206; 216.6108; 223; -0.002051; 0.010898164983151982; 2.8831404197759998; 0.20581491772800004
105; 2952; 3034.3912; 3152; 213; 225.9952; 233; -0.003179047619047619; 0.011189564299218678; 3.0394003537269842; 0.22636827144126986
110; 2952; 3034.3912; 3152; 223; 235.3806; 243; -0.0021663636363636364; 0.013740511376675979; 4.583184592661157; 0.3555219707107438
115; 2656; 3039.9264; 3200; 232; 244.7492; 253; 0.003470434782608696; 0.01145154994833807; 3.189198854000756; 0.2567673573141777
120; 2952; 3072.9824; 3352; 239; 254.0989; 262; 0.0022091666666666666; 0.011002840542332694; 2.9761834544; 0.24609478464999995
125; 2704; 3090.4288; 3352; 249; 263.4316; 272; 0.0010072000000000002; 0.010737001443606124; 2.85019617148928; 0.24295390263296
131; 3024; 3091.324; 3408; 260; 276.4312; 286; -4.3053435114503817E-4; 0.010739782527302719; 2.8524989105996155; 0.25507507361109494
137; 3040; 3104.0328; 3456; 273; 287.703; 298; -0.0017802919708029196; 0.01077155636639501; 2.881198669533805; 0.2670492079919015
143; 2936; 3286.9184; 3512; 283; 298.7565; 310; -0.001127972027972028; 0.013226769454110306; 4.600303418651279; 0.41813345542569325
150; 3072; 3479.4312; 3512; 296; 311.6288; 323; 0.0019686666666666667; 0.010923776310822595; 3.321573272490667; 0.29749054759822224
157; 3304; 3489.1056; 3512; 309; 324.4754; 337; 2.9554140127388534E-4; 0.010642852776665183; 3.1616967293439897; 0.29402744672806197
164; 2936; 3489.0816; 3560; 321; 337.2295; 351; -0.0014164634146341464; 0.01071142068149981; 3.2025451842474717; 0.3095349536139203
172; 3336; 3489.172; 3584; 335; 351.7829; 365; 0.0010290697674418604; 0.012783295955638894; 4.5613988958355876; 0.4598862227582477
180; 3336; 3489.172; 3584; 346; 366.2462; 381; 6.216666666666666E-4; 0.010590730864624668; 3.1308641889382716; 0.32863588035061725
188; 3336; 3489.2024; 3664; 361; 380.6695; 397; -0.001297340425531915; 0.01063630300445296; 3.1578940236306026; 0.3445239917949299
197; 2936; 3489.1752; 3664; 375; 396.795; 415; 0.0012314720812182742; 0.011541276428949292; 3.7180947262500967; 0.42282812193048
206; 3336; 3489.312; 3696; 388; 412.8406; 431; -4.830097087378641E-4; 0.010483975985966119; 3.0681870037892356; 0.36301487615797906
216; 3336; 3489.344; 3704; 402; 430.6045; 451; 9.402777777777778E-4; 0.011875248174433643; 3.9365807352537723; 0.48579600612997254
226; 2936; 3508.016; 3800; 421; 448.2569; 467; -5.473451327433628E-4; 0.010417793684300389; 3.0458117460725194; 0.38919609582112924
237; 2936; 3550.068; 4088; 443; 467.5797; 488; 9.278481012658229E-4; 0.011011041477262748; 3.4433681335683386; 0.45352625326710466
248; 3432; 3593.6584; 4088; 460; 486.7378; 509; -4.504032258064516E-4; 0.011637448857929117; 3.8935194644640996; 0.5273520428069719
260; 3496; 3594.1816; 4088; 478; 507.5396; 533; -2.803846153846154E-4; 0.010409443254840273; 3.1156237635313606; 0.4399617533775148
273; 3512; 3660.3544; 4240; 503; 529.9026; 559; 2.846153846153846E-4; 0.010591149273883061; 3.2847271606424346; 0.47552375330515634
286; 3512; 4045.6168; 4392; 523; 552.1269; 582; 5.496503496503496E-4; 0.010924321446253712; 3.8624571328553965; 0.5271301234329306
300; 3800; 4344.7288; 4400; 546; 575.8194; 606; 3.156666666666667E-4; 0.011164079302238348; 4.332100121621333; 0.574145684944
314; 3376; 4348.3712; 4480; 568; 599.3106; 630; 2.1910828025477707E-4; 0.011089389652392543; 4.277912379874234; 0.589599672431336
329; 4064; 4348.5832; 4536; 592; 624.3531; 654; 1.3556231003039514E-4; 0.01074054210217137; 4.013194185945806; 0.5761992160796742
345; 4064; 4348.5832; 4536; 614; 650.8057; 685; -2.1999999999999998E-4; 0.010743227132316954; 4.0152009550934675; 0.6009119632850242
362; 4064; 4348.5832; 4536; 642; 678.6463; 709; -1.0966850828729281E-4; 0.011260456003994928; 4.41112867797198; 0.6884072394267574
380; 3376; 4348.5384; 4664; 673; 707.8775; 739; -4.657894736842106E-5; 0.010854457705365217; 4.098732335348477; 0.6672127809002771
398; 4064; 4348.908; 4736; 701; 736.759; 767; -5.753768844221106E-5; 0.011192642475063996; 4.358484141450974; 0.7383813172344134
417; 4064; 4348.9696; 4760; 728; 767.0024; 799; -6.115107913669065E-5; 0.011195394268175745; 4.360689301387437; 0.7690693353704949
437; 4088; 4349.0368; 4760; 755; 798.4356; 832; -1.3272311212814645E-5; 0.011189954748142298; 4.356520179462007; 0.7998094666388786
458; 4088; 4378.7536; 5432; 789; 831.0871; 866; 3.0131004366812227E-5; 0.011070536486253793; 4.29316746624969; 0.8148428583284071
480; 4088; 4495.7528; 5480; 819; 864.9212; 901; 4.229166666666667E-5; 0.011154124641933034; 4.474694569002778; 0.8608698850736111
504; 4240; 4546.4264; 5480; 856; 901.3136; 940; 3.313492063492063E-5; 0.011203186381989697; 4.565026198102797; 0.9050009468329553
529; 4392; 4672.1392; 5680; 888; 938.7025; 980; 9.168241965973536E-5; 0.01123752941338966; 4.720059175742796; 0.9483303383635707
555; 4496; 4734.6816; 5896; 928; 977.0056; 1023; 1.3135135135135137E-4; 0.011173481307200554; 4.728874400232189; 0.9758072793582339
582; 4520; 5404.6064; 6184; 965; 1016.2009; 1062; 6.082474226804124E-5; 0.011205147003724067; 5.428616661188224; 1.0207154283898396
611; 5064; 6080.7744; 6200; 1002; 1057.6902; 1102; -3.289689034369885E-5; 0.01122459678277539; 6.129010650594422; 1.0660804158150226
641; 5440; 6101.4176; 6376; 1041; 1099.9351; 1146; 1.6068642745709828E-5; 0.011192346942888136; 6.1145297948710216; 1.1022989053190582
673; 4336; 6101.3248; 6376; 1080; 1144.1626; 1190; -3.863298662704309E-6; 0.011240219719311327; 6.16685494848261; 1.1564512664001643
706; 4048; 6101.3856; 6464; 1121; 1189.0358; 1237; 7.223796033994335E-6; 0.011272322747938785; 6.2021931875200025; 1.2086811458822397
741; 4336; 6101.4592; 6576; 1167; 1235.7712; 1288; 2.3481781376518218E-5; 0.01134924684455233; 6.287207334966171; 1.2733920687333198
778; 4048; 6101.8432; 6736; 1220; 1284.1576; 1339; 7.956298200514138E-5; 0.011379982488010653; 6.3217048838619885; 1.3304283813075515
816; 5560; 6102.1912; 6736; 1274; 1332.8595; 1390; 1.2794117647058824E-4; 0.011402341702031584; 6.346932821778162; 1.3863167229779412
