p = 12; number of cycles = 10000; data structure = Hash4j HyperLogLog CR
true distinct count; minimum memory size; average memory size; maximum memory size; minimum serialization size; average serialization size; maximum serialization size; relative distinct count estimation bias; relative distinct count estimation rmse; estimated memory MVP; estimated serialization MVP
1; 3112; 3112.0; 3112; 3072; 3072.0; 3072; -1.477520269212131E-4; 1.477520276495381E-4; 5.434961530495937E-4; 5.365103413137378E-4
2; 3112; 3112.0; 3112; 3072; 3072.0; 3072; -2.7567081252836625E-4; 0.011182021072737948; 3.1129359718706877; 3.0729239413839182
3; 3112; 3112.0; 3112; 3072; 3072.0; 3072; -2.623890722952998E-4; 0.011056474917564209; 3.043427393757479; 3.004308789724606
4; 3112; 3112.0; 3112; 3072; 3072.0; 3072; -1.81541276615304E-4; 0.009999254084004913; 2.489228607359629; 2.4572333810439524
5; 3112; 3112.0; 3112; 3072; 3072.0; 3072; -6.355708166162863E-5; 0.009164067800359737; 2.0907695318201958; 2.063895887452327
6; 3112; 3112.0; 3112; 3072; 3072.0; 3072; -1.2959413338013042E-4; 0.009993222446186086; 2.486226464008604; 2.454269825653737
7; 3112; 3112.0; 3112; 3072; 3072.0; 3072; -1.184555235576016E-4; 0.009988643653571699; 2.483948658738998; 2.4520212980868257
8; 3112; 3112.0; 3112; 3072; 3072.0; 3072; -8.092587153742635E-5; 0.009906270303532132; 2.4431488272680943; 2.4117458860435685
9; 3112; 3112.0; 3112; 3072; 3072.0; 3072; -6.155056657728198E-5; 0.009978511159706873; 2.478911772873568; 2.447049153684962
10; 3112; 3112.0; 3112; 3072; 3072.0; 3072; -1.1376255104018848E-4; 0.010358604821047935; 2.67135807380672; 2.6370218517783557
11; 3112; 3112.0; 3112; 3072; 3072.0; 3072; -2.0451091685474087E-4; 0.010782523319956204; 2.894478896483863; 2.857274797557335
12; 3112; 3112.0; 3112; 3072; 3072.0; 3072; -1.8141181457247276E-4; 0.010675211426862974; 2.8371516207487906; 2.800684376266158
