p = 12; number of cycles = 10000; data structure = Hash4j HyperLogLog ML
true distinct count; minimum memory size; average memory size; maximum memory size; minimum serialization size; average serialization size; maximum serialization size; relative distinct count estimation bias; relative distinct count estimation rmse; estimated memory MVP; estimated serialization MVP
1; 3112; 3112.0; 3112; 3072; 3072.0; 3072; -1.2461949747390996E-4; 1.40562374722155E-4; 4.918897204447847E-4; 4.8556723046477466E-4
2; 3112; 3112.0; 3112; 3072; 3072.0; 3072; -2.525982705486926E-4; 0.011181537103941598; 3.1126665158818563; 3.072657948839673
3; 3112; 3112.0; 3112; 3072; 3072.0; 3072; -2.4700348035575813E-4; 0.01105538723099298; 3.0428286256500363; 3.003717717865332
4; 3112; 3112.0; 3112; 3072; 3072.0; 3072; -1.585020525061724E-4; 0.00999819383461341; 2.4887007553472724; 2.456712313761832
5; 3112; 3112.0; 3112; 3072; 3072.0; 3072; -5.6124784663588655E-5; 0.009163012321075375; 2.090287947245675; 2.0634204929108977
6; 3112; 3112.0; 3112; 3072; 3072.0; 3072; -1.1399269546972039E-4; 0.009991718056866373; 2.4854779625060353; 2.4535309449931044
7; 3112; 3112.0; 3112; 3072; 3072.0; 3072; -9.142588375999142E-5; 0.009986684866774944; 2.4829745427454526; 2.451059702864406
8; 3112; 3112.0; 3112; 3072; 3072.0; 3072; -5.7095703787300324E-5; 0.009902855699659761; 2.4414648539022337; 2.4100835575795827
9; 3112; 3112.0; 3112; 3072; 3072.0; 3072; -4.6071062816314975E-5; 0.009975533917738161; 2.4774327507964418; 2.4455891421743794
10; 3112; 3112.0; 3112; 3072; 3072.0; 3072; -1.045646573114212E-4; 0.010356854403281079; 2.6704553272234675; 2.636130708621624
11; 3112; 3112.0; 3112; 3072; 3072.0; 3072; -1.927910059256667E-4; 0.01078102063694022; 2.8936721871319633; 2.8564784572202413
12; 3112; 3112.0; 3112; 3072; 3072.0; 3072; -1.6328760136868683E-4; 0.010674439112967614; 2.836741119772169; 2.8002791516517043
13; 3112; 3112.0; 3112; 3072; 3072.0; 3072; -2.1140922534088497E-4; 0.010906437391727229; 2.961388575327361; 2.9233244548218678
14; 3112; 3112.0; 3112; 3072; 3072.0; 3072; -1.7093767334470946E-4; 0.010762982200337626; 2.8839971003917557; 2.846927728921425
15; 3112; 3112.0; 3112; 3072; 3072.0; 3072; -1.6667008332355032E-4; 0.010784218342496888; 2.8953889974792606; 2.858173200596493
16; 3112; 3112.0; 3112; 3072; 3072.0; 3072; -1.1015871778019486E-4; 0.010614603345269133; 2.8050274448005172; 2.76897310746375
17; 3112; 3112.0; 3112; 3072; 3072.0; 3072; -1.6847951232127966E-4; 0.010797844922250326; 2.902710654807822; 2.8654007492190328
18; 3112; 3112.0; 3112; 3072; 3072.0; 3072; -2.0743605547056867E-4; 0.010955177872781541; 2.987916399695732; 2.9495113045839614
19; 3112; 3112.0; 3112; 3072; 3072.0; 3072; -1.9735115065709657E-4; 0.01095119364701226; 2.9857434785604284; 2.9473663130262326
20; 3112; 3112.0; 3112; 3072; 3072.0; 3072; -1.6173782074231603E-4; 0.01088558505612025; 2.9500754703012544; 2.9121567624567652
21; 3112; 3112.0; 3112; 3072; 3072.0; 3072; -2.139225396866307E-4; 0.010970627540356976; 2.996349830193533; 2.9578363362321762
22; 3112; 3112.0; 3112; 3072; 3072.0; 3072; -2.7372479545159276E-4; 0.011128705331373365; 3.0833218582487856; 3.0436904718959736
23; 3112; 3112.0; 3112; 3072; 3072.0; 3072; -2.8571649472933057E-4; 0.011144292085747201; 3.0919648467175787; 3.0522223679679956
24; 3112; 3112.0; 3112; 3072; 3072.0; 3072; -2.879603914030208E-4; 0.011102339151637811; 3.068729124747394; 3.029285305663237
