p = 12; number of cycles = 10000; data structure = Hash4j UltraLogLog FGRA
true distinct count; minimum memory size; average memory size; maximum memory size; minimum serialization size; average serialization size; maximum serialization size; relative distinct count estimation bias; relative distinct count estimation rmse; estimated memory MVP; estimated serialization MVP
1; 4128; 4128.0; 4128; 4096; 4096.0; 4096; -4.0364278225833264E-5; 8.226203174920364E-5; 2.234747906325507E-4; 2.2174242791446895E-4
2; 4128; 4128.0; 4128; 4096; 4096.0; 4096; -1.4933549435871998E-4; 0.010000204766646589; 3.3025352456594157; 3.2769341972434507
3; 4128; 4128.0; 4128; 4096; 4096.0; 4096; -1.638059015778347E-4; 0.009998973127246874; 3.301721805906755; 3.2761270632253074
4; 4128; 4128.0; 4128; 4096; 4096.0; 4096; -1.1609907839477163E-4; 0.009351831460815923; 2.88817176719983; 2.8657828387719246
5; 4128; 4128.0; 4128; 4096; 4096.0; 4096; -4.1532143424750634E-5; 0.008481978009687342; 2.375877036398012; 2.3574593849530663
6; 4128; 4128.0; 4128; 4096; 4096.0; 4096; -2.217190943595006E-5; 0.008492053652702081; 2.381524942338004; 2.363063508676469
7; 4128; 4128.0; 4128; 4096; 4096.0; 4096; 2.3086389008672208E-5; 0.008321812105329467; 2.2869964330026593; 2.269267778483259
8; 4128; 4128.0; 4128; 4096; 4096.0; 4096; 3.918513750429882E-5; 0.00837238581957814; 2.3148781865552976; 2.2969333944114583
9; 4128; 4128.0; 4128; 4096; 4096.0; 4096; 1.2423711712462588E-5; 0.008660945437340688; 2.4771954910843985; 2.457992425262039
10; 4128; 4128.0; 4128; 4096; 4096.0; 4096; 7.48062218915619E-6; 0.008753179295855895; 2.53023771246506; 2.5106234666319973
11; 4128; 4128.0; 4128; 4096; 4096.0; 4096; -5.8972536263827355E-5; 0.009149702382630787; 2.7646719810823215; 2.743240415337497
12; 4128; 4128.0; 4128; 4096; 4096.0; 4096; -3.847934479633476E-5; 0.00909178830334669; 2.729784134994034; 2.708623017668499
13; 4128; 4128.0; 4128; 4096; 4096.0; 4096; -5.333634435270591E-6; 0.008993430406680965; 2.6710402488053693; 2.6503345104425367
14; 4128; 4128.0; 4128; 4096; 4096.0; 4096; 5.0442002839518696E-5; 0.008815284918756551; 2.566270212519043; 2.546376644980136
