p = 12; number of cycles = 10000; data structure = Hash4j UltraLogLog ML
true distinct count; minimum memory size; average memory size; maximum memory size; minimum serialization size; average serialization size; maximum serialization size; relative distinct count estimation bias; relative distinct count estimation rmse; estimated memory MVP; estimated serialization MVP
1; 4128; 4128.0; 4128; 4096; 4096.0; 4096; -5.7096429612752196E-5; 7.308746961602172E-5; 1.7640688376796258E-4; 1.7503938854495512E-4
2; 4128; 4128.0; 4128; 4096; 4096.0; 4096; -1.4589775038497784E-4; 0.008660424781373665; 2.4768976649738783; 2.4576969078810578
3; 4128; 4128.0; 4128; 4096; 4096.0; 4096; -1.0106259235179788E-4; 0.00745408673233638; 1.8349260192516939; 1.8207017865443165
4; 4128; 4128.0; 4128; 4096; 4096.0; 4096; -9.796485647178547E-5; 0.007499841806639506; 1.8575216381633763; 1.843122245619474
5; 4128; 4128.0; 4128; 4096; 4096.0; 4096; -3.228665315963529E-5; 0.006633417045105715; 1.4531293692325313; 1.4418648004787908
6; 4128; 4128.0; 4128; 4096; 4096.0; 4096; -1.659742471632386E-6; 0.006452746588978951; 1.3750512823971208; 1.3643919701304765
7; 4128; 4128.0; 4128; 4096; 4096.0; 4096; 3.847866021533687E-5; 0.006224512574805109; 1.2795002435619824; 1.2695816370227422
8; 4128; 4128.0; 4128; 4096; 4096.0; 4096; 2.102163898749768E-5; 0.006609172523852402; 1.4425266757263036; 1.431344298395092
9; 4128; 4128.0; 4128; 4096; 4096.0; 4096; -1.2496838461861495E-5; 0.0070180070509102445; 1.6265120160498536; 1.6139033957703974
10; 4128; 4128.0; 4128; 4096; 4096.0; 4096; 2.3966941224589003E-6; 0.006989311462314263; 1.6132380770620522; 1.6007323555344395
11; 4128; 4128.0; 4128; 4096; 4096.0; 4096; -1.9452808561502786E-5; 0.007201274005380678; 1.7125700612540722; 1.699294324345126
12; 4128; 4128.0; 4128; 4096; 4096.0; 4096; -1.963977273877629E-5; 0.007246221882561722; 1.7340153274111507; 1.7205733481288938
13; 4128; 4128.0; 4128; 4096; 4096.0; 4096; -2.5803321674105403E-6; 0.007193625488856437; 1.7089341311836992; 1.6956865797791745
14; 4128; 4128.0; 4128; 4096; 4096.0; 4096; 4.958134960063447E-5; 0.006973813788832164; 1.6060918170133571; 1.593641492850463
15; 4128; 4128.0; 4128; 4096; 4096.0; 4096; 8.304522567630826E-5; 0.006868786250479755; 1.558079735697046; 1.5460015982110222
16; 4128; 4128.0; 4128; 4096; 4096.0; 4096; 1.1953771293199164E-4; 0.006759628161600204; 1.5089515268914466; 1.4972542282333732
17; 4128; 4128.0; 4128; 4096; 4096.0; 4096; 6.46687593308203E-5; 0.007091288024959737; 1.6606569459274036; 1.6477836362690517
18; 4128; 4128.0; 4128; 4096; 4096.0; 4096; 5.550346739236766E-5; 0.007151378460127194; 1.6889204711721686; 1.675828064418896
19; 4128; 4128.0; 4128; 4096; 4096.0; 4096; 8.08656798171443E-5; 0.0071258357761935; 1.6768773326584367; 1.6638782835680612
20; 4128; 4128.0; 4128; 4096; 4096.0; 4096; 9.420391725086822E-5; 0.007137625315389577; 1.682430636398805; 1.6693885384422251
21; 4128; 4128.0; 4128; 4096; 4096.0; 4096; 7.418483813272236E-5; 0.007218424827762522; 1.7207372165717847; 1.707398168381306
22; 4128; 4128.0; 4128; 4096; 4096.0; 4096; 2.4996291837116162E-5; 0.007459088811443313; 1.837389506742489; 1.8231461772328574
23; 4128; 4128.0; 4128; 4096; 4096.0; 4096; 1.5634664171294334E-5; 0.007503925224806425; 1.8595449081737505; 1.8451298313662023
24; 4128; 4128.0; 4128; 4096; 4096.0; 4096; -4.184517149421785E-6; 0.007547072620541179; 1.880991068934189; 1.8664097428184203
25; 4128; 4128.0; 4128; 4096; 4096.0; 4096; 6.760759976914428E-6; 0.007531922270421193; 1.8734466683671063; 1.8589238259766636
