p = 12; number of cycles = 100; data structure = HyperLogLogLog
true distinct count; minimum memory size; average memory size; maximum memory size; minimum serialization size; average serialization size; maximum serialization size; relative distinct count estimation bias; relative distinct count estimation rmse; estimated memory MVP; estimated serialization MVP
1; 1696; 1696.08; 1704; 1536; 1536.03; 1539; 0.00012209; 0.00012209; 0.000202254; 0.000183169
2; 1696; 1696.16; 1704; 1536; 1536.06; 1539; 0.00024422; 0.00024422; 0.000809319; 0.000732928
3; 1696; 1696.16; 1704; 1536; 1536.06; 1539; 0.00036639; 0.00036639; 0.00182156; 0.00164962
4; 1696; 1696.24; 1704; 1536; 1536.09; 1539; 0.000488599; 0.000488599; 0.00323954; 0.00293368
5; 1696; 1696.4; 1704; 1536; 1536.15; 1539; 0.000610849; 0.000610849; 0.00506391; 0.00458554
6; 1696; 1696.48; 1704; 1536; 1536.18; 1539; 0.000733138; 0.000733138; 0.00729474; 0.00660547
7; 1696; 1696.48; 1704; 1536; 1536.18; 1539; 0.000855467; 0.000855467; 0.00993219; 0.0089937
8; 1696; 1696.56; 1704; 1536; 1536.21; 1539; 0.000977836; 0.000977836; 0.0129775; 0.0117509
9; 1696; 1696.56; 1704; 1536; 1536.21; 1539; 0.00110024; 0.00110024; 0.01643; 0.0148771
10; 1696; 1696.56; 1704; 1536; 1536.21; 1539; 0.00122269; 0.00122269; 0.0202906; 0.0183728
11; 1696; 1696.64; 1704; 1536; 1536.24; 1539; 0.000433755; 0.00907895; 1.1188; 1.01303
12; 1696; 1696.72; 1704; 1536; 1536.27; 1539; 0.000632031; 0.00833889; 0.943881; 0.854623
13; 1696; 1696.72; 1704; 1536; 1536.27; 1539; 0.000818694; 0.00772071; 0.809123; 0.732608
14; 1696; 1696.72; 1704; 1536; 1536.27; 1539; 0.000996241; 0.00719981; 0.703627; 0.637089
15; 1696; 1696.8; 1704; 1536; 1536.3; 1539; 0.000497467; 0.00937969; 1.19426; 1.08129
16; 1696; 1696.88; 1704; 1536; 1536.33; 1539; 7.61039e-05; 0.0107025; 1.55492; 1.40781
17; 1696; 1696.96; 1704; 1536; 1536.36; 1539; -0.000281503; 0.0115771; 1.81952; 1.64732
18; 1696; 1696.96; 1704; 1536; 1536.36; 1539; -2.80331e-05; 0.0109334; 1.62282; 1.46923
19; 1696; 1696.96; 1704; 1536; 1536.36; 1539; -0.000316985; 0.0115272; 1.80388; 1.63316
20; 1696; 1696.96; 1704; 1536; 1536.36; 1539; -6.2576e-05; 0.0109496; 1.62763; 1.47359
21; 1696; 1696.96; 1704; 1536; 1536.36; 1539; 0.000179344; 0.0104321; 1.47742; 1.33759
22; 1696; 1696.96; 1704; 1536; 1536.36; 1539; -4.64618e-05; 0.0108519; 1.59873; 1.44742
23; 1696; 1696.96; 1704; 1536; 1536.36; 1539; 0.000195067; 0.0103844; 1.46394; 1.32539
