p = 8; sample_size = 100
true distinct count; compressed bytes hll6 bzip2; compressed bytes hll6 lzma; compressed bytes hll6 deflate; compressed bytes hll6 zstd; compressed bytes hll8 bzip2; compressed bytes hll8 lzma; compressed bytes hll8 deflate; compressed bytes hll8 zstd; compressed bytes ull bzip2; compressed bytes ull lzma; compressed bytes ull deflate; compressed bytes ull zstd
1.0; 45.27; 29.7; 15.83; 25.02; 44.59; 29.75; 16.1; 24.94; 46.34; 29.75; 16.1; 24.94
2.0; 48.46; 32.61; 19.39; 27.3; 47.32; 32.49; 19.4; 27.32; 49.78; 32.63; 19.43; 27.32
3.0; 51.82; 35.48; 22.34; 30.16; 50.27; 35.19; 21.96; 31.41; 52.14; 35.3; 21.98; 31.41
4.0; 54.11; 37.82; 24.72; 33.81; 52.42; 37.21; 23.92; 35.19; 53.85; 37.31; 23.94; 35.16
5.0; 56.69; 40.02; 26.95; 37.76; 54.07; 39.17; 25.89; 38.78; 55.25; 39.32; 25.94; 38.76
6.0; 59.24; 42.14; 29.38; 41.62; 55.92; 41.33; 28.12; 42.52; 56.79; 41.44; 28.15; 42.45
7.0; 61.11; 44.06; 31.65; 45.23; 57.27; 43.27; 30.07; 45.81; 58.86; 43.39; 30.11; 45.81
8.0; 62.49; 46.08; 33.82; 48.66; 58.94; 44.89; 31.98; 48.76; 60.18; 45.07; 32.06; 48.74
9.0; 64.14; 47.92; 35.81; 51.98; 60.23; 46.65; 33.76; 52.14; 61.35; 46.82; 33.81; 52.12
10.0; 65.85; 49.62; 37.56; 55.18; 61.38; 48.3; 35.5; 55.11; 62.45; 48.51; 35.63; 55.13
11.0; 67.76; 51.4; 39.56; 57.55; 62.14; 49.78; 37.3; 57.6; 63.3; 50.02; 37.4; 57.62
12.0; 69.53; 53.0; 41.28; 60.94; 63.36; 51.32; 38.83; 60.85; 64.78; 51.62; 38.93; 60.87
13.0; 71.04; 54.57; 42.99; 63.86; 64.41; 53.01; 40.58; 63.49; 65.98; 53.31; 40.69; 63.63
14.0; 73.04; 56.25; 44.98; 67.02; 65.62; 54.5; 42.34; 65.99; 67.35; 54.85; 42.44; 66.14
15.0; 74.93; 57.8; 46.69; 70.21; 66.62; 55.84; 43.79; 68.54; 68.49; 56.15; 43.87; 68.61
16.0; 76.7; 59.38; 48.42; 72.4; 67.73; 57.22; 45.36; 71.78; 69.87; 57.61; 45.48; 71.81
17.0; 78.1; 60.75; 50.15; 74.82; 68.65; 58.59; 46.96; 73.48; 71.14; 58.92; 47.16; 73.64
18.0; 79.48; 62.16; 51.66; 76.92; 69.7; 60.02; 48.52; 76.38; 72.51; 60.53; 48.83; 76.57
19.0; 81.18; 63.5; 53.21; 79.26; 70.81; 61.24; 49.89; 78.34; 74.0; 61.79; 50.19; 78.35
20.0; 82.74; 64.79; 54.59; 81.31; 71.9; 62.34; 51.14; 80.2; 75.24; 62.89; 51.51; 80.17
21.0; 84.49; 66.16; 56.22; 83.79; 72.97; 63.52; 52.39; 81.46; 76.45; 64.16; 52.86; 81.53
22.0; 85.67; 67.56; 57.57; 85.81; 73.75; 64.71; 53.82; 83.28; 77.81; 65.36; 54.32; 83.52
23.0; 86.88; 68.65; 58.82; 88.0; 74.72; 65.77; 54.95; 85.92; 78.7; 66.37; 55.37; 86.1
24.0; 88.24; 69.98; 60.25; 89.43; 75.71; 66.8; 56.03; 87.78; 79.71; 67.55; 56.65; 88.18
25.0; 89.4; 71.42; 61.88; 91.4; 76.49; 67.89; 57.11; 89.65; 80.75; 68.72; 57.86; 90.12
26.0; 90.57; 72.73; 63.3; 93.16; 77.24; 68.96; 58.43; 91.35; 81.52; 69.8; 59.23; 91.86
27.0; 91.66; 74.0; 64.61; 94.87; 78.15; 69.99; 59.51; 93.04; 82.44; 70.88; 60.46; 93.37
28.0; 92.77; 75.39; 66.07; 96.89; 78.79; 71.11; 60.62; 95.18; 83.37; 72.06; 61.84; 95.35
29.0; 94.21; 76.49; 67.49; 98.74; 79.68; 72.11; 61.45; 96.62; 84.24; 73.06; 62.97; 96.94
30.0; 94.9; 77.82; 69.09; 100.21; 80.33; 73.14; 62.4; 98.23; 85.09; 74.13; 64.2; 98.89
31.0; 95.9; 78.79; 70.21; 101.75; 80.85; 73.97; 63.19; 99.52; 85.88; 75.03; 65.37; 100.17
32.0; 97.07; 79.76; 71.11; 103.5; 81.55; 74.79; 63.82; 100.72; 86.51; 75.9; 66.44; 101.3
33.0; 98.19; 80.97; 72.58; 104.69; 81.93; 75.8; 64.63; 102.37; 87.28; 77.03; 67.69; 103.0
34.0; 99.33; 82.23; 74.13; 105.23; 82.9; 76.95; 65.51; 103.95; 88.19; 78.11; 68.79; 104.44
35.0; 100.36; 83.27; 75.42; 106.49; 83.73; 77.83; 66.4; 105.71; 89.02; 79.08; 69.98; 106.22
36.0; 100.98; 84.41; 76.43; 106.76; 84.48; 78.71; 67.01; 106.86; 89.76; 80.01; 70.92; 107.31
37.0; 101.88; 85.47; 77.46; 106.93; 85.14; 79.51; 67.36; 108.71; 90.99; 80.99; 71.81; 108.98
38.0; 102.76; 86.56; 78.87; 106.62; 85.69; 80.5; 68.43; 110.07; 91.85; 81.94; 72.91; 110.12
